,Ca-Ca3,WREF,ABBY,US-Me6
resistance,0.9466575300746157,1.0153611632270167,0.8045296108858131,1.0376766255852523
resistance se,0.02127155081723844,0.031842301265566954,0.049575450034847694,0.02394544695131818
recovery,0.8299827635488031,0.8881626053816833,0.7252939522386194,0.9853814480965534
recovery se,0.022707454764008712,0.016320165052303742,0.05792547756790243,0.018258432838948898
resilience,0.7857094329456137,0.9018058161350838,0.58352046117237,1.0225072959751411
resilience se,0.01675643935644881,0.027023820252404244,0.034654804459888965,0.0222461890393381
