,Ca-Ca3,WREF,ABBY,US-Me6
resistance,0.5844631828762102,0.5519587478881927,1.0144613456887042,0.7478056271423358
resistance se,0.04061552878997741,0.10875335596325,0.07129240395576453,0.05515651093436418
recovery,1.5384453778110136,1.9254278891257863,1.4128727941722414,0.8992309379744645
recovery se,0.1242576978667334,0.36012554446388795,0.08738600444421045,0.06915087860438401
resilience,0.8991646821966188,1.0627567668308748,1.4333048360629315,0.6724499555177853
resilience se,0.06087666439777147,0.0806514065992196,0.07680557243673027,0.029198602078530325
