,Ca-Ca3,WREF,ABBY,US-Me6
resistance,1.7316133639929094,1.348413462634676,1.8475061752554316,1.075209395142213
resistance se,0.15669453115928825,0.09588775289657957,0.1845796491568485,0.04136243439348294
recovery,0.7241690791151228,0.7053594791889206,0.8982407645546124,0.809015101217429
recovery se,0.07344863719120769,0.022311183730857713,0.06824911945333899,0.023468158790046056
resilience,1.2539808551861853,0.9511162177353242,1.6595053593808067,0.8698606376409082
resilience se,0.09806106496182704,0.07300459965445903,0.11753253116138432,0.03227811573186234
