,Ca-Ca3,WREF,ABBY,US-Me6
resistance,1.2383101293670113,1.5247566244417425,1.4158853588187745,0.9675309652965263
resistance se,0.07024541812124616,0.18626689292551882,0.1365440671583445,0.051312392964350674
recovery,0.7181956880667122,0.6198905530979834,0.6612810200157916,0.8122074632014403
recovery se,0.03608414458842073,0.08007386909507513,0.0544877852029937,0.04381363831263484
resilience,0.8893489954007202,0.9451822272650059,0.9362981143051042,0.7858358708923324
resilience se,0.057278953201413414,0.0811581936696752,0.08076628017197121,0.048568563356351666
