,Ca-Ca3,WREF,ABBY,US-Me6
resistance,0.35437908043750377,10.854697300966127,-0.172768918257259,0.021227709781668422
resistance se,0.03573780553369024,8.250749662982368,-0.30431073794059116,0.20800385631535362
recovery,2.1455878200411695,-0.03349243457353082,-6.286169489068617,11.213481276678976
recovery se,0.22251907648108166,-0.05584448969796363,-11.068134641948655,109.94449799676494
resilience,0.7603514386640979,-0.3635502391680896,1.0860547026081715,0.23803652618351398
resilience se,0.06812077774002034,-0.663163278973,0.14043541075470997,0.09226936402808064
